# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.94 1375.39 0.37 78.67 1568.66 42.60
1.00 9.93 732.35 -2.24 78.25 716.38 42.53
2.00 9.92 158.47 2.25 78.81 647.16 42.57
3.00 9.88 69.47 0.32 79.11 379.88 42.88
4.00 10.03 312.59 0.37 79.26 476.72 36.16
5.00 10.17 149.51 0.32 78.69 298.93 35.61
6.00 9.87 297.09 2.17 78.99 510.95 42.95
7.00 9.87 80.53 0.34 78.94 143.02 43.48
