# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.10 1924.64 -2.34 79.83 1643.95 35.25
1.00 10.12 943.31 -2.32 79.42 752.25 34.31
2.00 10.26 342.90 0.34 78.75 724.90 43.39
3.00 10.13 254.94 -2.19 79.25 449.28 43.83
4.00 10.13 399.59 2.35 80.62 508.52 36.01
5.00 10.01 204.04 -2.36 79.62 343.65 43.72
6.00 10.17 449.30 0.29 79.70 594.04 43.65
7.00 10.08 137.68 0.36 79.84 182.77 35.52
