# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.12 451.03 0.28 79.57 1463.85 37.57
1.00 9.98 274.72 0.37 79.32 641.56 37.26
2.00 10.16 86.18 -0.35 79.71 678.18 37.71
3.00 9.86 57.39 -0.34 79.87 420.37 42.21
4.00 10.05 113.22 0.29 79.74 397.02 37.56
5.00 10.22 58.20 -0.30 79.63 241.70 37.43
6.00 10.16 128.45 -2.16 79.82 475.72 37.74
7.00 10.14 37.59 2.35 79.80 115.23 42.47
