# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.92 1874.88 2.01 80.31 1616.41 35.93
1.00 9.93 873.64 -2.05 80.29 757.74 35.20
2.00 10.02 231.56 -2.17 80.32 621.88 35.85
3.00 9.95 103.48 0.29 80.90 384.31 36.09
4.00 9.88 399.12 0.44 81.38 502.93 36.71
5.00 9.93 187.61 0.39 81.01 316.94 36.23
6.00 10.16 421.66 0.42 80.51 551.54 36.45
7.00 10.18 113.41 0.38 80.55 172.64 43.98
