 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.400242300061277 0.035673166476374495 0.49457476518354626 0.3944394553164556 0.3215086083367505 0.43785609475919046 0.31096273723106427
L23I 0.400242300061277 1.0 -0.12235954276811956 0.31397148915706524 0.12988445037196303 -0.0914660880271372 0.09664938670057649 0.08945506188697852
L4E 0.035673166476374495 -0.12235954276811956 1.0 0.6955614021303752 0.03643160333053104 0.2450707484674 0.18955904449409372 -0.016947687896194472
L4I 0.49457476518354626 0.31397148915706524 0.6955614021303752 1.0 0.14764293798874326 0.23467465101164112 0.3318335099338272 0.1215088758189135
L5E 0.3944394553164556 0.12988445037196303 0.03643160333053104 0.14764293798874326 1.0 0.6155989311304823 0.3020193670270755 0.37403605161237136
L5I 0.3215086083367505 -0.0914660880271372 0.2450707484674 0.23467465101164112 0.6155989311304823 1.0 0.1851482999856917 0.2948851714802002
L6E 0.43785609475919046 0.09664938670057649 0.18955904449409372 0.3318335099338272 0.3020193670270755 0.1851482999856917 1.0 0.10211886663775196
L6I 0.31096273723106427 0.08945506188697852 -0.016947687896194472 0.1215088758189135 0.37403605161237136 0.2948851714802002 0.10211886663775196 1.0
