# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.28 352.30 0.36 79.76 1115.75 37.68
1.00 10.18 177.72 0.36 79.50 453.16 37.40
2.00 10.26 90.85 2.26 79.99 584.66 37.94
3.00 10.18 61.61 -0.38 80.12 365.32 42.25
4.00 10.30 89.26 -0.39 79.82 302.84 37.60
5.00 10.16 53.17 -0.38 79.82 196.68 37.60
6.00 10.24 93.74 0.27 80.03 411.95 37.90
7.00 10.26 33.11 -2.40 79.98 97.06 37.60
