 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8457299854034109 0.4359890335921172 0.2969396951820419 0.6371307660947417 0.3951160161334547 0.618264912292991 0.24203372137776744
L23I 0.8457299854034109 1.0 0.5266333320201513 0.41473521269259117 0.6017098191921477 0.4171788629500356 0.5384438429697859 0.205143597079447
L4E 0.4359890335921172 0.5266333320201513 1.0 0.6989604441051046 0.3060948958740099 0.39988347439790645 0.43636322262686766 0.16873811735214286
L4I 0.2969396951820419 0.41473521269259117 0.6989604441051046 1.0 0.2012597532479354 0.26455050679886766 0.260471293362059 0.09706056270164153
L5E 0.6371307660947417 0.6017098191921477 0.3060948958740099 0.2012597532479354 1.0 0.6549715185750411 0.463842538745721 0.22648202913971058
L5I 0.3951160161334547 0.4171788629500356 0.39988347439790645 0.26455050679886766 0.6549715185750411 1.0 0.3710272211501768 0.17805998863856395
L6E 0.618264912292991 0.5384438429697859 0.43636322262686766 0.260471293362059 0.463842538745721 0.3710272211501768 1.0 0.4633067973037774
L6I 0.24203372137776744 0.205143597079447 0.16873811735214286 0.09706056270164153 0.22648202913971058 0.17805998863856395 0.4633067973037774 1.0
