# Pops mean_freq amplitude sigma
0.00 81.27 4.10 4.73
1.00 81.21 4.01 4.71
2.00 81.39 4.04 4.64
3.00 81.53 4.01 4.61
4.00 81.35 4.01 4.84
5.00 81.03 4.00 5.40
6.00 81.37 4.02 4.79
7.00 81.65 4.00 4.97
