# Pops mean_freq amplitude sigma
0.00 68.48 5.45 11.19
1.00 70.58 4.74 9.80
2.00 75.22 28.17 5.64
3.00 75.50 8.43 5.28
4.00 71.24 8.37 7.57
5.00 73.48 4.12 7.94
6.00 72.32 4.90 6.84
7.00 72.59 5.29 6.12
