# Pops mean_freq amplitude sigma
0.00 10.64 2284.69 2.43
1.00 10.60 1099.34 -2.29
2.00 11.19 3844.90 2.55
3.00 11.29 651.79 -2.56
4.00 10.43 2350.61 2.40
5.00 10.47 42.66 0.45
6.00 10.07 450.35 -2.71
7.00 10.70 267.57 -2.57
