# Pops mean_freq amplitude sigma
0.00 9.81 104.07 0.38
1.00 9.80 42.66 1.95
2.00 9.72 38.27 2.20
3.00 9.95 26.37 0.25
4.00 10.34 41.40 0.41
5.00 10.01 26.09 2.18
6.00 9.96 32.23 0.22
7.00 10.58 21.74 2.26
