# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.08 257.87 2.38 80.81 965.93 38.47
1.00 10.05 125.41 -2.36 80.66 366.56 42.74
2.00 10.14 68.75 2.40 80.97 528.63 42.50
3.00 9.81 52.07 2.34 81.04 326.62 38.52
4.00 9.86 71.35 -2.24 80.71 251.96 42.64
5.00 10.22 48.42 -0.36 80.71 155.55 42.84
6.00 9.86 92.73 -2.24 80.96 372.58 38.65
7.00 10.04 34.98 -0.33 80.97 86.17 42.84
