 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.7813518238311882 0.9066734559610763 0.9787465618572139 0.9036238860109564 0.8502433277497483 0.8604882557255009 0.6861854143805347
L23I 0.7813518238311882 1.0 0.5019123247409204 0.6824901240319775 0.9613270890630207 0.9717011814120985 0.9147109278475147 0.9515388700842212
L4E 0.9066734559610763 0.5019123247409204 1.0 0.9487400179338387 0.6928722505922044 0.6125238374503447 0.665309787525005 0.4144747353255164
L4I 0.9787465618572139 0.6824901240319775 0.9487400179338387 1.0 0.832817418808756 0.7666852322963925 0.7972807640885233 0.6025242506448214
L5E 0.9036238860109564 0.9613270890630207 0.6928722505922044 0.832817418808756 1.0 0.982221871038958 0.9594660974913571 0.9018160074223965
L5I 0.8502433277497483 0.9717011814120985 0.6125238374503447 0.7666852322963925 0.982221871038958 1.0 0.9564810055744005 0.9213037415164286
L6E 0.8604882557255009 0.9147109278475147 0.665309787525005 0.7972807640885233 0.9594660974913571 0.9564810055744005 1.0 0.8792946416602707
L6I 0.6861854143805347 0.9515388700842212 0.4144747353255164 0.6025242506448214 0.9018160074223965 0.9213037415164286 0.8792946416602707 1.0
