 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9950933080150858 0.769588667929312 0.7582417169357639 0.6009950153992787 0.4845742715963115 0.4088303293532032 0.29680874452560957
L23I 0.9950933080150858 1.0 0.7254069180139915 0.7131704470230164 0.6038939722471292 0.48445726418934704 0.41285994218310873 0.3062220707092802
L4E 0.769588667929312 0.7254069180139915 1.0 0.9967939239164905 0.41916745990296816 0.35894998175407083 0.2630272200140254 0.12742864931254055
L4I 0.7582417169357639 0.7131704470230164 0.9967939239164905 1.0 0.410784906710749 0.3525500193955671 0.25755727496718045 0.12207722950313533
L5E 0.6009950153992787 0.6038939722471292 0.41916745990296816 0.410784906710749 1.0 0.9845249891855424 0.3388886794200044 0.26818985951371005
L5I 0.4845742715963115 0.48445726418934704 0.35894998175407083 0.3525500193955671 0.9845249891855424 1.0 0.2940128849971522 0.2320049335769414
L6E 0.4088303293532032 0.41285994218310873 0.2630272200140254 0.25755727496718045 0.3388886794200044 0.2940128849971522 1.0 0.9822650854472168
L6I 0.29680874452560957 0.3062220707092802 0.12742864931254055 0.12207722950313533 0.26818985951371005 0.2320049335769414 0.9822650854472168 1.0
