# Pops mean_freq amplitude sigma
0.00 71.14 5.22 9.92
1.00 71.71 4.77 9.32
2.00 75.88 38.53 4.42
3.00 75.92 9.94 4.38
4.00 71.11 8.59 7.21
5.00 73.69 4.11 8.24
6.00 72.23 4.85 7.24
7.00 72.69 5.26 6.20
