# Pops mean_freq amplitude sigma
0.00 10.74 1671.22 -0.32
1.00 10.65 715.93 0.33
2.00 11.26 2744.73 2.91
3.00 11.21 503.62 -2.78
4.00 10.38 1927.04 2.49
5.00 10.94 39.67 0.42
6.00 10.49 523.61 -0.38
7.00 10.77 237.64 -2.53
