# Pops mean_freq amplitude sigma
0.00 10.50 96.66 0.44
1.00 10.05 31.82 0.28
2.00 9.96 47.88 1.99
3.00 10.49 23.17 2.50
4.00 10.49 30.81 0.38
5.00 10.39 20.43 2.29
6.00 9.97 31.66 2.52
7.00 9.97 19.33 2.42
