# Pops mean_freq amplitude sigma
0.00 81.06 4.12 0.66
1.00 81.06 4.01 4.44
2.00 81.12 4.05 4.26
3.00 81.16 4.02 4.26
4.00 81.15 4.01 4.57
5.00 81.18 4.00 4.48
6.00 81.03 4.02 4.41
7.00 81.00 4.00 4.74
