# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.17 64.42 2.39 72.26 102.56 44.03
1.00 10.09 35.59 2.19 74.95 42.78 47.13
2.00 9.96 36.72 2.23 77.59 64.69 32.24
3.00 10.03 31.66 2.22 78.93 48.54 33.51
4.00 10.20 32.03 2.42 76.54 56.29 30.87
5.00 9.69 28.07 2.28 79.18 42.47 33.23
6.00 9.99 36.61 2.25 78.73 58.50 32.78
7.00 10.00 27.86 0.26 78.58 25.70 33.31
