# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.07 133.19 0.40 81.26 322.51 37.58
1.00 10.12 44.59 2.38 81.31 109.74 44.12
2.00 9.96 43.01 2.41 81.65 209.41 44.09
3.00 10.10 41.60 2.25 81.88 131.65 37.68
4.00 10.24 38.04 2.34 81.35 105.42 44.15
5.00 10.29 28.61 0.27 81.12 71.45 44.24
6.00 10.00 52.80 2.33 81.73 150.15 44.27
7.00 10.12 32.03 2.29 81.85 43.82 44.53
