 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 -0.13287268696872048 0.1999302954246401 -0.06592230744216286 -0.24631451204716348 -0.08160772095390544 0.12795106362636044 -0.11336950935590429
L23I -0.13287268696872048 1.0 -0.02052089820840575 0.2396471223508422 0.5702663593542205 0.27643074416776126 -0.08158376983450676 0.14580911925020582
L4E 0.1999302954246401 -0.02052089820840575 1.0 0.4899156342622409 -0.038821282691640015 0.07755326549950357 0.27630751562352085 -0.07861483261751864
L4I -0.06592230744216286 0.2396471223508422 0.4899156342622409 1.0 0.19595712717011524 0.07661854028194022 0.10407147455922316 0.057195969533316154
L5E -0.24631451204716348 0.5702663593542205 -0.038821282691640015 0.19595712717011524 1.0 0.6829443057597685 -0.0012587657804906936 0.24084207466851731
L5I -0.08160772095390544 0.27643074416776126 0.07755326549950357 0.07661854028194022 0.6829443057597685 1.0 0.06626530201017031 0.1473370577122283
L6E 0.12795106362636044 -0.08158376983450676 0.27630751562352085 0.10407147455922316 -0.0012587657804906936 0.06626530201017031 1.0 -0.14112992396808327
L6I -0.11336950935590429 0.14580911925020582 -0.07861483261751864 0.057195969533316154 0.24084207466851731 0.1473370577122283 -0.14112992396808327 1.0
