# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.21 797.51 0.38 79.22 1392.52 36.42
1.00 10.21 426.31 0.37 78.90 633.15 35.87
2.00 10.04 137.63 0.37 79.14 631.69 42.34
3.00 10.04 82.81 -2.27 79.30 392.80 36.78
4.00 10.22 164.57 0.37 79.59 397.41 36.59
5.00 10.10 83.72 -2.29 79.09 247.52 42.69
6.00 10.24 147.59 0.28 79.59 459.51 36.91
7.00 10.27 45.42 -0.34 79.69 119.85 42.93
