# Pops mean_freq amplitude sigma
0.00 10.35 93.87 0.28
1.00 10.43 35.33 0.35
2.00 10.02 38.28 0.39
3.00 9.50 29.87 0.33
4.00 9.98 19.15 2.37
5.00 10.31 22.03 2.27
6.00 10.03 36.28 0.33
7.00 10.35 20.57 2.31
