# Pops mean_freq amplitude sigma
0.00 10.29 2594.95 -2.51
1.00 10.46 1210.81 -2.43
2.00 10.96 4239.20 2.55
3.00 11.03 804.01 -2.51
4.00 10.50 2783.05 -0.45
5.00 10.60 72.31 0.53
6.00 10.15 698.47 -2.47
7.00 10.44 388.20 0.51
