# Pops mean_freq amplitude sigma
0.00 68.45 5.60 11.70
1.00 71.32 4.82 9.90
2.00 75.17 32.06 5.07
3.00 75.34 8.61 5.49
4.00 71.84 8.57 7.09
5.00 73.83 4.11 7.70
6.00 72.36 4.91 6.81
7.00 72.51 5.46 5.71
