# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.37 79.03 2.28 72.01 93.04 28.01
1.00 10.40 32.77 0.30 71.36 44.07 43.51
2.00 10.33 31.71 2.29 77.99 57.16 32.48
3.00 10.00 29.35 2.42 78.38 44.15 32.46
4.00 10.23 26.60 0.29 74.54 59.35 45.08
5.00 9.89 29.84 2.23 76.09 42.42 45.82
6.00 10.21 34.01 0.32 78.96 62.08 33.40
7.00 10.17 31.01 2.18 79.52 27.43 33.31
