# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.27 350.83 0.36 79.76 1112.85 42.22
1.00 10.18 175.52 0.36 79.49 450.94 42.26
2.00 10.26 89.36 2.27 80.01 585.00 42.20
3.00 10.25 57.22 2.24 80.15 366.57 42.25
4.00 10.27 91.66 2.25 79.83 305.21 42.36
5.00 10.21 52.69 2.15 79.80 195.10 42.39
6.00 10.21 98.66 0.31 80.01 409.26 42.23
7.00 10.44 32.02 0.29 79.97 96.43 37.62
