# Pops mean_freq amplitude sigma
0.00 73.16 4.00 12.58
1.00 73.89 4.00 12.37
2.00 67.27 4.00 14.82
3.00 71.81 4.00 14.20
4.00 71.83 4.00 13.15
5.00 71.33 4.00 13.70
6.00 72.79 4.00 13.06
7.00 73.36 4.00 13.06
