# Pops mean_freq amplitude sigma
0.00 9.87 102.25 0.30
1.00 10.12 35.41 0.40
2.00 9.97 40.99 2.27
3.00 10.15 26.21 0.30
4.00 9.66 26.74 0.28
5.00 10.01 22.18 0.31
6.00 9.99 36.16 0.29
7.00 9.78 19.60 0.32
