# Pops mean_freq amplitude sigma
0.00 69.31 6.75 10.77
1.00 71.33 5.64 9.40
2.00 75.89 57.39 4.95
3.00 76.02 12.57 5.19
4.00 70.96 13.17 7.76
5.00 72.85 4.23 7.65
6.00 73.06 5.41 6.49
7.00 73.00 6.25 5.85
