# Pops mean_freq amplitude sigma
0.00 10.26 4366.19 2.24
1.00 10.43 1813.87 2.16
2.00 11.04 7570.55 -0.60
3.00 11.11 1438.15 -0.65
4.00 10.49 3277.33 2.43
5.00 10.67 93.92 0.57
6.00 10.40 838.63 -2.41
7.00 10.54 497.54 -2.22
