 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8675796955133681 0.455294037266099 0.4000751507905228 0.618383233017257 0.39830736952344137 0.6519919639856327 0.36780625998694966
L23I 0.8675796955133681 1.0 0.5993812558825294 0.5730939937133573 0.5383424381384612 0.40375992271906996 0.5636070754131683 0.3122136246641084
L4E 0.455294037266099 0.5993812558825294 1.0 0.9105019902893531 0.25949797547071435 0.417378312571352 0.5026085133212732 0.25053936112124914
L4I 0.4000751507905228 0.5730939937133573 0.9105019902893531 1.0 0.21731072009031296 0.34138850305963325 0.3766000375597988 0.163448364847931
L5E 0.618383233017257 0.5383424381384612 0.25949797547071435 0.21731072009031296 1.0 0.8525764297026511 0.4314310920305313 0.255643002762916
L5I 0.39830736952344137 0.40375992271906996 0.417378312571352 0.34138850305963325 0.8525764297026511 1.0 0.39346244239257355 0.22488434225722648
L6E 0.6519919639856327 0.5636070754131683 0.5026085133212732 0.3766000375597988 0.4314310920305313 0.39346244239257355 1.0 0.8147481060447496
L6I 0.36780625998694966 0.3122136246641084 0.25053936112124914 0.163448364847931 0.255643002762916 0.22488434225722648 0.8147481060447496 1.0
