 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9957669440467078 0.7241261973114562 0.7099995340862171 0.686496957250625 0.5659688779944526 0.536304333797266 0.4355803049111031
L23I 0.9957669440467078 1.0 0.6740382701636752 0.659082137131345 0.6858534132718753 0.5610733284090738 0.5374440470265324 0.4419636475939142
L4E 0.7241261973114562 0.6740382701636752 1.0 0.9971443950193123 0.48070285970791565 0.4362390395302085 0.32029011091820075 0.19279575591739664
L4I 0.7099995340862171 0.659082137131345 0.9971443950193123 1.0 0.47118964703867566 0.42964294354467897 0.3104323506969144 0.1833787396175918
L5E 0.686496957250625 0.6858534132718753 0.48070285970791565 0.47118964703867566 1.0 0.982387789191156 0.5582510249650443 0.48780910984002845
L5I 0.5659688779944526 0.5610733284090738 0.4362390395302085 0.42964294354467897 0.982387789191156 1.0 0.5171955707968776 0.4536141065552236
L6E 0.536304333797266 0.5374440470265324 0.32029011091820075 0.3104323506969144 0.5582510249650443 0.5171955707968776 1.0 0.9849733857168363
L6I 0.4355803049111031 0.4419636475939142 0.19279575591739664 0.1833787396175918 0.48780910984002845 0.4536141065552236 0.9849733857168363 1.0
