# Pops mean_freq amplitude sigma
0.00 81.24 4.12 0.66
1.00 81.26 4.01 4.44
2.00 81.24 4.05 4.27
3.00 81.32 4.02 4.26
4.00 81.41 4.01 4.38
5.00 81.39 4.00 4.49
6.00 81.25 4.02 4.36
7.00 81.20 4.00 4.55
