 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.5563913888479032 -0.42776580299080375 0.05995442047597315 0.4686798876736037 0.13564107763552652 -0.055196344427080574 0.3019817971251727
L23I 0.5563913888479032 1.0 -0.1868872405917427 0.40572389312656704 0.6542544250911053 0.22749827677238693 0.15323362197341178 0.4049386225691869
L4E -0.42776580299080375 -0.1868872405917427 1.0 0.6386853650561048 -0.13918809691987288 0.04128019382370517 0.3456123236370156 -0.1370681908668134
L4I 0.05995442047597315 0.40572389312656704 0.6386853650561048 1.0 0.3714652163934605 0.2157217516199635 0.39255193220877166 0.14492145270517726
L5E 0.4686798876736037 0.6542544250911053 -0.13918809691987288 0.3714652163934605 1.0 0.5705938748745908 0.22554361377143306 0.378458295648544
L5I 0.13564107763552652 0.22749827677238693 0.04128019382370517 0.2157217516199635 0.5705938748745908 1.0 0.12273162940176767 0.13756569730926274
L6E -0.055196344427080574 0.15323362197341178 0.3456123236370156 0.39255193220877166 0.22554361377143306 0.12273162940176767 1.0 0.6073674937527908
L6I 0.3019817971251727 0.4049386225691869 -0.1370681908668134 0.14492145270517726 0.378458295648544 0.13756569730926274 0.6073674937527908 1.0
