# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.73 1961.72 0.31 81.42 1746.80 35.82
1.00 9.70 977.62 -2.45 81.88 776.63 34.27
2.00 9.88 394.82 0.38 -233.73 659.27 8963.64
3.00 9.88 297.72 0.32 80.02 494.51 44.36
4.00 9.90 412.27 0.31 81.91 490.45 35.52
5.00 10.07 236.85 -2.33 80.43 322.22 45.86
6.00 10.03 556.40 -2.28 80.40 680.95 35.96
7.00 9.91 195.25 0.34 79.90 207.61 44.23
