# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.17 1665.89 -2.26 80.69 1683.16 36.15
1.00 10.05 844.99 -2.29 80.25 777.84 35.10
2.00 10.09 243.51 -2.29 80.59 710.66 36.50
3.00 9.90 178.98 2.17 81.11 427.79 44.36
4.00 10.10 381.59 0.34 81.66 521.67 36.73
5.00 10.10 207.39 -0.34 81.10 340.52 36.05
6.00 10.09 334.99 0.36 81.02 604.35 44.26
7.00 10.30 104.30 0.37 81.05 179.09 35.98
