 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.32599942595124926 0.028180844888761478 0.2197187406836869 0.3166015991840373 0.1683507194314334 0.18999979748877246 0.1290340182946662
L23I 0.32599942595124926 1.0 0.004568238593153368 0.23961747521004872 0.38074447550328366 0.2142343972659851 0.12350869350826904 0.1531571171856461
L4E 0.028180844888761478 0.004568238593153368 1.0 0.4955399905185507 -0.02971971679165676 0.06714727084898732 0.1401975251894023 -0.06871210313708088
L4I 0.2197187406836869 0.23961747521004872 0.4955399905185507 1.0 0.22649347622428498 0.1806222090631754 0.14502285458124728 -0.019882961346664067
L5E 0.3166015991840373 0.38074447550328366 -0.02971971679165676 0.22649347622428498 1.0 0.6789789212023408 0.1472642285598018 0.16654180256279436
L5I 0.1683507194314334 0.2142343972659851 0.06714727084898732 0.1806222090631754 0.6789789212023408 1.0 0.11910447778580394 0.10655908792860365
L6E 0.18999979748877246 0.12350869350826904 0.1401975251894023 0.14502285458124728 0.1472642285598018 0.11910447778580394 1.0 0.2726178477834038
L6I 0.1290340182946662 0.1531571171856461 -0.06871210313708088 -0.019882961346664067 0.16654180256279436 0.10655908792860365 0.2726178477834038 1.0
