# Pops mean_freq amplitude sigma
0.00 10.29 2366.52 2.21
1.00 10.18 945.93 -2.23
2.00 10.69 4713.42 -0.65
3.00 10.66 823.94 -2.26
4.00 10.12 2489.21 -0.52
5.00 10.47 62.07 0.53
6.00 10.32 612.70 -2.24
7.00 10.28 350.61 0.59
