# Pops mean_freq amplitude sigma
0.00 81.11 4.11 4.27
1.00 81.09 4.01 4.31
2.00 81.20 4.05 4.24
3.00 81.28 4.02 4.29
4.00 81.31 4.01 4.39
5.00 81.46 4.00 4.46
6.00 81.11 4.02 4.26
7.00 81.10 4.00 4.44
