# Pops mean_freq amplitude sigma
0.00 10.09 61.19 2.42
1.00 9.61 29.77 2.29
2.00 10.02 27.03 0.28
3.00 10.40 18.13 2.56
4.00 9.86 27.29 0.22
5.00 9.61 25.94 0.39
6.00 9.50 34.12 0.32
7.00 10.11 20.81 2.45
