 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.6515023291396974 0.11008163244898121 0.5959597954373412 0.638272036213794 0.23919347027602633 0.4464946579133887 0.3872593318580094
L23I 0.6515023291396974 1.0 -0.17223083173280906 0.4173729462928485 0.6421966841557475 0.22237374626392856 0.1737005073737254 0.4087372308046556
L4E 0.11008163244898121 -0.17223083173280906 1.0 0.6458459522830114 -0.07210359683235411 0.06537800492531684 0.34968700693953897 -0.11804845709698485
L4I 0.5959597954373412 0.4173729462928485 0.6458459522830114 1.0 0.40141487808701865 0.21468269537252876 0.403258409199002 0.16818876516156256
L5E 0.638272036213794 0.6421966841557475 -0.07210359683235411 0.40141487808701865 1.0 0.5882517137507648 0.28526421512859146 0.40673581815851123
L5I 0.23919347027602633 0.22237374626392856 0.06537800492531684 0.21468269537252876 0.5882517137507648 1.0 0.1549984587341966 0.17348734314643768
L6E 0.4464946579133887 0.1737005073737254 0.34968700693953897 0.403258409199002 0.28526421512859146 0.1549984587341966 1.0 0.6119242995908809
L6I 0.3872593318580094 0.4087372308046556 -0.11804845709698485 0.16818876516156256 0.40673581815851123 0.17348734314643768 0.6119242995908809 1.0
