 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.992204456853637 0.764424149808694 0.7533811657954812 0.6282897120061668 0.5153217158484916 0.42572340980730144 0.3179541949991208
L23I 0.992204456853637 1.0 0.7161430536547331 0.7038901362346123 0.6312181573201338 0.5157451128106741 0.4319363134697979 0.328738933663997
L4E 0.764424149808694 0.7161430536547331 1.0 0.9943744805708664 0.4386715575547501 0.3850091735837926 0.28023909274008457 0.14425342963581203
L4I 0.7533811657954812 0.7038901362346123 0.9943744805708664 1.0 0.43079805625094947 0.37889069448000917 0.2735390273231098 0.13789174171510005
L5E 0.6282897120061668 0.6312181573201338 0.4386715575547501 0.43079805625094947 1.0 0.9804243277462205 0.4111577171819712 0.3431980320683674
L5I 0.5153217158484916 0.5157451128106741 0.3850091735837926 0.37889069448000917 0.9804243277462205 1.0 0.3749842356860314 0.3122973324658812
L6E 0.42572340980730144 0.4319363134697979 0.28023909274008457 0.2735390273231098 0.4111577171819712 0.3749842356860314 1.0 0.9736923906678355
L6I 0.3179541949991208 0.328738933663997 0.14425342963581203 0.13789174171510005 0.3431980320683674 0.3122973324658812 0.9736923906678355 1.0
