# Pops mean_freq amplitude sigma
0.00 69.68 5.35 10.46
1.00 71.18 4.80 -4.01
2.00 75.34 23.53 6.02
3.00 75.58 7.56 -1.09
4.00 70.71 8.22 7.98
5.00 73.15 4.11 7.64
6.00 72.44 5.08 5.85
7.00 72.41 5.65 5.37
