# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.97 2128.00 0.40 79.26 1430.67 33.37
1.00 9.95 1036.77 -2.17 79.49 677.14 32.04
2.00 10.01 301.39 0.40 79.47 580.68 34.32
3.00 10.12 149.04 2.24 80.18 353.59 34.70
4.00 10.00 478.31 0.40 81.28 431.31 33.96
5.00 9.96 260.12 -2.12 80.74 286.85 33.38
6.00 9.89 426.65 0.37 79.64 493.92 34.56
7.00 9.97 111.04 0.35 79.84 149.38 44.95
