 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.851553510975489 0.4334389386329555 0.40364826334459475 0.6052895482701675 0.3697649375055175 0.6179486995919753 0.3377297989158957
L23I 0.851553510975489 1.0 0.5866652228273552 0.5848413387282652 0.49492412343202835 0.35799913592633636 0.522358122592793 0.269742181598209
L4E 0.4334389386329555 0.5866652228273552 1.0 0.8914536650935383 0.22132517869793544 0.37502127402806956 0.488756664400582 0.23204338083572704
L4I 0.40364826334459475 0.5848413387282652 0.8914536650935383 1.0 0.19759112942382218 0.30061914335112766 0.3715416047181087 0.1462450872000075
L5E 0.6052895482701675 0.49492412343202835 0.22132517869793544 0.19759112942382218 1.0 0.8065148492084986 0.39552563410909075 0.21351476378923143
L5I 0.3697649375055175 0.35799913592633636 0.37502127402806956 0.30061914335112766 0.8065148492084986 1.0 0.363968402779071 0.20025217752846458
L6E 0.6179486995919753 0.522358122592793 0.488756664400582 0.3715416047181087 0.39552563410909075 0.363968402779071 1.0 0.7472751619997958
L6I 0.3377297989158957 0.269742181598209 0.23204338083572704 0.1462450872000075 0.21351476378923143 0.20025217752846458 0.7472751619997958 1.0
