 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.690865385567809 -0.09742650351845063 0.4597108599556198 0.5862629287785145 0.1678822283122516 0.34613808767788523 0.41663481155955456
L23I 0.690865385567809 1.0 -0.17333933012672945 0.4113196199378513 0.5729938651988558 0.1812098118662489 0.19674309913425514 0.3755280832784197
L4E -0.09742650351845063 -0.17333933012672945 1.0 0.6259295803422927 -0.08192911720752694 0.05454400088505463 0.3262609010488594 -0.11551361183585339
L4I 0.4597108599556198 0.4113196199378513 0.6259295803422927 1.0 0.3696428986540185 0.17993053982500817 0.41645894162179614 0.16307319915598734
L5E 0.5862629287785145 0.5729938651988558 -0.08192911720752694 0.3696428986540185 1.0 0.5810164928606422 0.3019395189690377 0.3790895851219385
L5I 0.1678822283122516 0.1812098118662489 0.05454400088505463 0.17993053982500817 0.5810164928606422 1.0 0.16514013130392635 0.15882946641057907
L6E 0.34613808767788523 0.19674309913425514 0.3262609010488594 0.41645894162179614 0.3019395189690377 0.16514013130392635 1.0 0.6542546659769635
L6I 0.41663481155955456 0.3755280832784197 -0.11551361183585339 0.16307319915598734 0.3790895851219385 0.15882946641057907 0.6542546659769635 1.0
