# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.01 190.87 -2.42 81.21 784.51 38.52
1.00 9.92 86.21 -2.35 81.02 300.29 42.97
2.00 10.07 66.98 2.36 81.44 451.25 38.72
3.00 10.11 54.95 -0.35 81.53 285.63 38.73
4.00 10.24 50.71 -0.29 81.41 215.00 38.54
5.00 9.92 39.41 2.33 81.34 140.19 38.54
6.00 9.98 68.32 0.28 81.35 308.38 38.59
7.00 9.95 31.71 2.26 81.22 76.60 38.22
