 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 -0.03613520444432172 0.2816327566941179 0.1457479912323046 0.144475546674245 0.10815035217150801 0.21649216585991632 0.07409539960313077
L23I -0.03613520444432172 1.0 -0.0576795099348812 -0.0923470366426871 0.3957114315497575 0.21167402193286342 0.10090248261955018 0.17630367011531384
L4E 0.2816327566941179 -0.0576795099348812 1.0 0.48481220275090664 -0.05507111746789609 -0.011998972612496512 0.15768349795242947 -0.09740569272731996
L4I 0.1457479912323046 -0.0923470366426871 0.48481220275090664 1.0 -0.06044255543307117 -0.07519149610986071 0.09278671146380904 -0.03745921759505844
L5E 0.144475546674245 0.3957114315497575 -0.05507111746789609 -0.06044255543307117 1.0 0.6498003710738758 0.10841445476837173 0.20084553823533596
L5I 0.10815035217150801 0.21167402193286342 -0.011998972612496512 -0.07519149610986071 0.6498003710738758 1.0 0.09773709315795288 0.15810928015517456
L6E 0.21649216585991632 0.10090248261955018 0.15768349795242947 0.09278671146380904 0.10841445476837173 0.09773709315795288 1.0 0.2840081264007454
L6I 0.07409539960313077 0.17630367011531384 -0.09740569272731996 -0.03745921759505844 0.20084553823533596 0.15810928015517456 0.2840081264007454 1.0
