 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.285759314657351 0.43730549904076266 0.48385276239183783 0.38884333570462454 0.15543246258583465 0.4635479314252643 0.27053219154159147
L23I 0.285759314657351 1.0 -0.0950485825676705 0.442985137962702 0.666263828254765 0.23095744714684677 0.2656647817415708 0.4788661490058734
L4E 0.43730549904076266 -0.0950485825676705 1.0 0.645379948489407 0.06460263335935176 0.09686358345764458 0.38736074484509214 -0.06239692095268594
L4I 0.48385276239183783 0.442985137962702 0.645379948489407 1.0 0.4498582930646861 0.20799895908879884 0.3968336610982968 0.13217529309566786
L5E 0.38884333570462454 0.666263828254765 0.06460263335935176 0.4498582930646861 1.0 0.5635150463853564 0.2972983495713772 0.3951593927224085
L5I 0.15543246258583465 0.23095744714684677 0.09686358345764458 0.20799895908879884 0.5635150463853564 1.0 0.1870079057300093 0.17389933199038965
L6E 0.4635479314252643 0.2656647817415708 0.38736074484509214 0.3968336610982968 0.2972983495713772 0.1870079057300093 1.0 0.5721418985023032
L6I 0.27053219154159147 0.4788661490058734 -0.06239692095268594 0.13217529309566786 0.3951593927224085 0.17389933199038965 0.5721418985023032 1.0
