# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.64 2329.33 -2.27 79.68 1825.03 43.78
1.00 9.56 1272.78 0.36 79.19 810.19 44.59
2.00 10.06 479.79 -2.36 -76.36 712.90 9126.64
3.00 10.14 411.60 0.31 79.46 560.44 43.97
4.00 9.67 539.43 -2.23 80.59 522.76 35.69
5.00 9.86 339.61 0.34 79.51 340.49 34.14
6.00 9.93 865.15 -2.20 79.54 707.00 35.39
7.00 9.95 283.50 0.39 79.04 213.28 43.26
