 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9260676739767073 0.5464047341834947 0.4284180875403169 0.773134998798512 0.5293682217157988 0.7396884261701625 0.4638745986678592
L23I 0.9260676739767073 1.0 0.5908158182360808 0.5152736880234661 0.7335389565378906 0.5280707862143986 0.6595596243498096 0.41105533143693085
L4E 0.5464047341834947 0.5908158182360808 1.0 0.9077991043644015 0.44768818601553406 0.5590751438645147 0.6316817933212341 0.4232312195349136
L4I 0.4284180875403169 0.5152736880234661 0.9077991043644015 1.0 0.3491185424842654 0.45229049760226747 0.4586817844952286 0.30616887510018664
L5E 0.773134998798512 0.7335389565378906 0.44768818601553406 0.3491185424842654 1.0 0.8707747562731821 0.6193347847978641 0.4131112863659575
L5I 0.5293682217157988 0.5280707862143986 0.5590751438645147 0.45229049760226747 0.8707747562731821 1.0 0.5526986681701659 0.3950987473790312
L6E 0.7396884261701625 0.6595596243498096 0.6316817933212341 0.4586817844952286 0.6193347847978641 0.5526986681701659 1.0 0.8414668635805461
L6I 0.4638745986678592 0.41105533143693085 0.4232312195349136 0.30616887510018664 0.4131112863659575 0.3950987473790312 0.8414668635805461 1.0
