# Pops mean_freq amplitude sigma
0.00 80.92 4.11 0.52
1.00 80.82 4.01 4.58
2.00 80.99 4.04 4.49
3.00 81.10 4.02 4.51
4.00 81.17 4.01 4.49
5.00 81.20 4.00 4.70
6.00 81.05 4.02 4.54
7.00 81.19 4.00 4.73
