# Pops mean_freq amplitude sigma
0.00 68.08 5.91 10.98
1.00 72.04 4.96 8.87
2.00 75.51 26.90 5.30
3.00 75.52 8.59 5.21
4.00 71.77 8.71 7.09
5.00 73.84 4.12 7.65
6.00 72.42 4.89 6.88
7.00 72.40 5.54 5.81
