# Pops mean_freq amplitude sigma
0.00 10.05 94.69 0.36
1.00 10.41 34.26 0.31
2.00 10.12 36.38 0.33
3.00 9.40 33.45 0.48
4.00 9.88 33.48 0.34
5.00 10.23 22.36 2.30
6.00 9.98 33.25 0.27
7.00 10.34 17.06 2.49
