 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.7879081959579208 0.9238163512798424 0.9809597877776912 0.9084072690623338 0.8578625760714206 0.870365319374145 0.6914740927597013
L23I 0.7879081959579208 1.0 0.5152677171540038 0.6912531035848001 0.9641969966773406 0.9751675100279534 0.9162135670872462 0.9545032262779758
L4E 0.9238163512798424 0.5152677171540038 1.0 0.9650932502390893 0.7076314835157616 0.6339538257820257 0.7012821690446638 0.4257121777310581
L4I 0.9809597877776912 0.6912531035848001 0.9650932502390893 1.0 0.8390144431494295 0.7760179430117073 0.8105711655947202 0.6121149094061926
L5E 0.9084072690623338 0.9641969966773406 0.7076314835157616 0.8390144431494295 1.0 0.9874898829163328 0.9656704578180982 0.9048451741438883
L5I 0.8578625760714206 0.9751675100279534 0.6339538257820257 0.7760179430117073 0.9874898829163328 1.0 0.9646945838864277 0.9258131682063869
L6E 0.870365319374145 0.9162135670872462 0.7012821690446638 0.8105711655947202 0.9656704578180982 0.9646945838864277 1.0 0.8839707869639697
L6I 0.6914740927597013 0.9545032262779758 0.4257121777310581 0.6121149094061926 0.9048451741438883 0.9258131682063869 0.8839707869639697 1.0
