 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8726064082082543 0.4558672749252063 0.40626339252933635 0.6147532013654872 0.40033350351418834 0.6463048029141161 0.37941700678067874
L23I 0.8726064082082543 1.0 0.6006551086200601 0.5753458128579654 0.5339796663223491 0.4086285374633282 0.5621048383573447 0.332215653324604
L4E 0.4558672749252063 0.6006551086200601 1.0 0.9101598308988713 0.2845780591820371 0.4342126228090751 0.4957941439068416 0.25132844070953747
L4I 0.40626339252933635 0.5753458128579654 0.9101598308988713 1.0 0.25369647664417033 0.36372868692683646 0.3709084253625084 0.1621574095031074
L5E 0.6147532013654872 0.5339796663223491 0.2845780591820371 0.25369647664417033 1.0 0.8647106121567649 0.42914846271111945 0.2734649308820152
L5I 0.40033350351418834 0.4086285374633282 0.4342126228090751 0.36372868692683646 0.8647106121567649 1.0 0.38150408608392605 0.24257647886909225
L6E 0.6463048029141161 0.5621048383573447 0.4957941439068416 0.3709084253625084 0.42914846271111945 0.38150408608392605 1.0 0.8175902804972353
L6I 0.37941700678067874 0.332215653324604 0.25132844070953747 0.1621574095031074 0.2734649308820152 0.24257647886909225 0.8175902804972353 1.0
