 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.5132565372330965 0.17632764953019966 0.38665560227448265 0.4425429004426568 0.22209985480011313 0.2688324485516056 0.19566786972647382
L23I 0.5132565372330965 1.0 -0.011514053044382844 0.25914308687072274 0.3523623557620219 0.13622440168628294 0.16421758287138793 0.2003172099204723
L4E 0.17632764953019966 -0.011514053044382844 1.0 0.6967053041000814 -0.038202684516092975 0.04329781115299733 0.26748916244824344 -0.06712436606341982
L4I 0.38665560227448265 0.25914308687072274 0.6967053041000814 1.0 0.19383775055432628 0.1365670428742101 0.18891358198967173 0.02161167892814907
L5E 0.4425429004426568 0.3523623557620219 -0.038202684516092975 0.19383775055432628 1.0 0.6999444978202537 0.08749239053256641 0.142345610306791
L5I 0.22209985480011313 0.13622440168628294 0.04329781115299733 0.1365670428742101 0.6999444978202537 1.0 0.06145094280008315 0.054010933830853716
L6E 0.2688324485516056 0.16421758287138793 0.26748916244824344 0.18891358198967173 0.08749239053256641 0.06145094280008315 1.0 0.6329364522835633
L6I 0.19566786972647382 0.2003172099204723 -0.06712436606341982 0.02161167892814907 0.142345610306791 0.054010933830853716 0.6329364522835633 1.0
