 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9973726330487209 0.7197970377324173 0.7074914677658101 0.7804455109074379 0.6840608640566824 0.5609379520650637 0.4613249410914157
L23I 0.9973726330487209 1.0 0.6780943404813052 0.6651164917562123 0.7858105680615323 0.6871118916457856 0.5616002951102778 0.4668604577664066
L4E 0.7197970377324173 0.6780943404813052 1.0 0.9984054289521747 0.4907845033178734 0.4536091980634977 0.37513389174289347 0.24580586708313726
L4I 0.7074914677658101 0.6651164917562123 0.9984054289521747 1.0 0.4792966842673751 0.44385747087666927 0.3652463021327327 0.23589442376014264
L5E 0.7804455109074379 0.7858105680615323 0.4907845033178734 0.4792966842673751 1.0 0.9862330930259813 0.5406862868793816 0.46820487718682274
L5I 0.6840608640566824 0.6871118916457856 0.4536091980634977 0.44385747087666927 0.9862330930259813 1.0 0.5014748217473587 0.4343776698421333
L6E 0.5609379520650637 0.5616002951102778 0.37513389174289347 0.3652463021327327 0.5406862868793816 0.5014748217473587 1.0 0.9860689043344805
L6I 0.4613249410914157 0.4668604577664066 0.24580586708313726 0.23589442376014264 0.46820487718682274 0.4343776698421333 0.9860689043344805 1.0
