 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.7864670780624922 0.8806791522585896 0.9743599223063577 0.8948611274588208 0.8436119648229534 0.8436895405922504 0.7213328680834661
L23I 0.7864670780624922 1.0 0.4678640565113898 0.6678485442447043 0.9728409090580495 0.9830950628798262 0.9196152067183673 0.9711735355440922
L4E 0.8806791522585896 0.4678640565113898 1.0 0.9517566723155253 0.6401077383658687 0.5690999868693465 0.670764691517413 0.4416960079181098
L4I 0.9743599223063577 0.6678485442447043 0.9517566723155253 1.0 0.8026801236787764 0.7382488940183594 0.7773009700813337 0.6269312871491464
L5E 0.8948611274588208 0.9728409090580495 0.6401077383658687 0.8026801236787764 1.0 0.9924073981021642 0.9611790348649342 0.9370924613452117
L5I 0.8436119648229534 0.9830950628798262 0.5690999868693465 0.7382488940183594 0.9924073981021642 1.0 0.9638473840789937 0.9553501864641987
L6E 0.8436895405922504 0.9196152067183673 0.670764691517413 0.7773009700813337 0.9611790348649342 0.9638473840789937 1.0 0.9241472046136255
L6I 0.7213328680834661 0.9711735355440922 0.4416960079181098 0.6269312871491464 0.9370924613452117 0.9553501864641987 0.9241472046136255 1.0
