 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.7178426043339301 0.07963416845397929 0.5652879574909839 0.5511648597075204 0.17069092627409083 0.3187632663377878 0.3358353882336413
L23I 0.7178426043339301 1.0 -0.12586759455202143 0.4106344750947997 0.49170659589312166 0.12730723205069064 0.11458131726723678 0.3270483435144589
L4E 0.07963416845397929 -0.12586759455202143 1.0 0.6510891332234596 -0.052657246171707785 0.07338761306706638 0.32880773336307895 -0.07424483998007571
L4I 0.5652879574909839 0.4106344750947997 0.6510891332234596 1.0 0.3310359672654357 0.175491433100925 0.3241474118730872 0.144851011276767
L5E 0.5511648597075204 0.49170659589312166 -0.052657246171707785 0.3310359672654357 1.0 0.5573938755294658 0.20237488593724573 0.2787533728187201
L5I 0.17069092627409083 0.12730723205069064 0.07338761306706638 0.175491433100925 0.5573938755294658 1.0 0.10436961027097287 0.09283722828491668
L6E 0.3187632663377878 0.11458131726723678 0.32880773336307895 0.3241474118730872 0.20237488593724573 0.10436961027097287 1.0 0.5126674150319956
L6I 0.3358353882336413 0.3270483435144589 -0.07424483998007571 0.144851011276767 0.2787533728187201 0.09283722828491668 0.5126674150319956 1.0
