# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.26 2578.98 -2.35 80.25 1880.41 35.20
1.00 10.30 1223.46 -2.37 80.29 819.65 34.62
2.00 10.04 512.14 -2.24 79.15 951.78 35.18
3.00 10.06 427.06 0.38 79.18 611.56 43.50
4.00 10.26 539.29 -2.39 80.83 509.67 35.68
5.00 10.13 396.94 0.31 78.92 345.51 43.84
6.00 10.06 733.90 -2.24 79.59 713.76 43.76
7.00 10.05 237.55 -2.21 79.27 221.43 43.37
