# Pops mean_freq amplitude sigma
0.00 10.02 101.49 0.27
1.00 10.04 37.45 0.28
2.00 9.65 33.29 0.22
3.00 9.99 31.17 0.38
4.00 10.07 29.48 0.35
5.00 10.16 20.53 2.31
6.00 10.07 40.83 0.36
7.00 10.02 23.17 2.20
