# Pops mean_freq amplitude sigma
0.00 81.11 4.11 4.82
1.00 80.98 4.01 4.92
2.00 81.27 4.04 4.68
3.00 81.43 4.02 4.66
4.00 81.26 4.01 4.94
5.00 81.15 4.00 5.01
6.00 81.33 4.02 4.64
7.00 81.31 4.00 4.79
